In which of the following states the Sharavati Project is located?,EASY,ANDHRA PRADESH,KARNATAKA,TAMIL NADU,MADHYA PRADESH,KARNATAKA
Which among the following states is largest producer of Coffee in India?,EASY,TAMIL NADU,ANDHRA PRADESH,KARNATAKA,KAREALA,KERALA
Which among the following was the first deepwater block in India to start production?,EASY,KRISHNA GODAVARI D-6,MAHANADI DEEPWATER,SB-11,KG-DWN- 2005/2,KRISHAN GODAVARI D-6
The highest peak in the Western Ghats in India : highest point in South India and also the highest point in India outside the Himalaya-Karakoram system is _________?,EASY,ANAMUDI,CARDAMOM HILL,AGASTYA MALA,DODDABETTA,ANAMUDI
Which among the following is not located in Andaman & Nicobar island?,EASY,MAHATMA GANDHI MARINE NATIONAL PARK,CAMPBELL BAY,GUINDY NATIONAL PARK,NONE OF THE ABOVE,GUINDY NATIONAL PARK
How many states in India have a forest cover more than the 75% of their geographical lands area?,EASY,1,3,5,7,3
Which among the following was the first port in India to be a Public Company?,EASY,ENNORE PORT,TUTICORIN PORT,NEW MANGALORE PORT,MORMUGAO PORT,ENNORE PORT
How many zonal councils were established in India?,EASY,3,5,6,8,5
Best quality coal is found in which of the following system?,EASY,VINDHYAN SYSTEM,CUDDAPAH SYSTEM,GONDWANA SYSTEM,DHARWAR SYSTEM,GONDWANA SYSTEM
Which of the following region is located in the very high-risk zone of earthquakes?,EASY,INDIAN DESERT,HIMALAYAN REGION,COASTAL REGION,CENTRAL INDIAN HIGHLAND,HIMALAYAN REGION
The coastal plain between the Kolleru and Pulicat lake is known as by which of the following name?,MEDIUM,UTKAL PLAIN,KONKAN  PLAIN,ANDHARA PLAIN,COROMANDAL PLAIN,ANDHRA PLAIN
Which among the following peaks is the highest?,MEDIUM,NANDA DEVI,NANGA PARBAT,GODWIN AUSTIN,KAMET,GODWIN AUSTIN
Which of the following is the largest glacier of the Nun-Kun peak?,MEDIUM,GANGRI,DIAMIR,ZEMU,RUPAL,GANGRI
Which of the following hill stations is considered as the Ooty of Andhra Pradesh?,MEDIUM,SRI SAILAM,ARAKU VALLEY,LAMBASINGI,PAPI HILLS,ARAKU VALLEY
Jogi matti hill station is located in which of the following states of India?,MEDIUM,KERALA,MAHARASTRA,KARNATAKA,TAMIL NADU,KARNATAKA
What percent of the total geographical area of India is cover by the Thar desert?,MEDIUM,1.32%,2.53%,3.50%,5%,5%
Sagar Island is located in which of the following states of India?,MEDIUM,West BENGAL,ODISHA,ANDHRA PRADESH,TAMIL NADU,WEST BENGAL
The Baratang Island mangroves is located in which of the following places of India?,MEDIUM,ODISHA,NEW MOORE,LAKHWADEEP,ANDAMAN AND NICOBAR,ANDAMAN AND NICOBAR
Which of the following island is the northernmost island of the Andaman Nicobar Group of island?,MEDIUM,LANDFALL ISLAND,WEST ISLAND,SMITH ISLAND,POCOCK ISLAND,LANDFALL ISLAND
Shaheed Dweep was formally known as by which of the following name?,MEDIUM,ROSS ISLAND,NEILL ISLAND,OUTRAM ISLAND,HAVELOCK ISLAND,NEILL ISLAND
Which of the following island is also known as Cardamom island?,HARD,AMINI ISLAND,CHETLAT ISLAND,KADMAT ISLAND,KILTAN ISLAND,KADMAT ISLAND
The northern upland of the Karnataka plateau is known as by which of the following name?,HARD,ROHI,MALNAD,MAIDAN,HAMADA,MALNAD
The Bhander Plateau is located in which of the following states of India?,HARD,MADHYA PRADESH,JHARKHAND,MAHARASTRA,KARNATAKA,MADHYA PRADESH
Which one among the following India river originates in Maharashtra and flows through Karnataka and Andhra Praadesh and drains into the Bay of Bengal in Andhra cost,HARD,GODAVARI,KRISHANA,MAHANANDI,NARMADA,KRISHNA
The Kota city is located besides which of the following rivers,HARD,BETWA,CHAMBAL,KEN,SON,CHAMBAL
Kazrianga Wildlife Santurary is situated in which of the following state of India?,HARD,KERALA,ASSAM,TAMIL NADU,UTTAR PRADESH,ASSAM
Which among the following type of coal is the used to make coke ?,HARD,BITUMINOUS,ANTHRACITE,LIGNITE,PEAT,BITUMINOUS
Which of the following places with petrochemical industries is the most westward located in India?,HARD,UJJAIN,NAGPUR,KOTA,DIGBOI,KOTA
Which of the following green manure crops contains the highest proportion of nitrogen?,HARD,GUAR,COWPEA,SUNHEMP,DHAINCHA,DHAINCHA
What percent of the total transport in India is provided by water transport?,HARD,1%,5%,7%,11%,1%