The famous football player Maradona belongs to which among the following countries?,EASY,BRAZIL,CHILE,ARGENTINA,ITALY,ARGENTINA
Which among the following sporting event has become the first ever to be broadcast live on the popular video sharing website YouTube,EASY,2010 AFRICA CUP OF NATIONS,FIFA WORLD CUP,INDIAN PREMIER LEAGUE-3,T-20 WORLD CUP,INDIAN PREMIER LEAGUE-3
Which was the first brand Sachin Tendulkar endorsed in the beginning of his career?,EASY,BOOST,PEPSI,NIKE,NONE OF THE ABOVE,BOOST
Who among the following is the first Indian to score a century in Indian Premier League (IPL)?,EASY,GAUTHAM GAMBHIR,MANISH PANDEY,SACHIN,RAHUL DRAVID,MANISH PANDEY
Ian Thorpe is related to which sports?,EASY,ATHLETICS,BOXING,SWIMMING,RRACING,SWIMMING
When was the first Winter Olyampics held?,EASY,1899,1905,1924,1915,1924
Where in the world did the game of Lawn Tennis originate?,EASY,BIRMINGHAM,ROME,AMSTERDAM,BERLIN,BIRMINGHAM
Which country has won the maximum number of medals in the all time history of Commonwealth Games?,EASY,AUSTRALIA,ENGLAND,INDIA ,CANADA,AUSTRALIA
Who is the top scorer in Indian National Football Team?,EASY,SUNIL CHHETHRI,GURPREET SINGH SANDHU,NISHU KUMAR,UDANT SINGH,SUNIL CHHETHRI
Where was the first modern Olympic Games held?,EASY,PARIS,ATHENS,BERLIN,AMSTERDAM,ATHENS
Which Country won the first FIFA World Cup?,MEDIUM,ARGENTINA,URUGUAY,ITALY,BRAZIL,URUGUAY
Who won the first ICC World Cup?,MEDIUM,INDIA,WEST INDIES,ENGLAND,AUSTRALIA,WEST INDIES
Who has the Highest Number of Gold Medals in Olympic History?,MEDIUM,LARISA LATYNINA,MARK SPITZ,MICHAEL PHELPS,SAINA NEHWAL,MICHAEL PHELPS
What is the 100m World Record of Usain Bolt?,MEDIUM,14.35 SEC,9.58 SEC,9.05 SEC,10.12 SEC,9.58 SEC
What is the Women?s World Record for the 100-Meter Dash?,MEDIUM,12.35 SEC,10.45 SEC,9.55 SEC,10.49 SEC,10.49 SEC
Where is the Famous Boxer Mary Kom from?,MEDIUM,MANIPUR,MIZORAM,NAGALAND,TRIPURA,MANIPUR
How many FIFA World Cup has been played till 2022?,MEDIUM,29,52,22,14,52
Which Female has the Most Olympic Gold Medals in Olympic History?,MEDIUM,BIRGIT FISCHER,MARIT BJ�RGEN,LARISA LATYNINA,JENNY THOMPSON,LARISA LATYNINA
Who is known as ?The Baltimore Bullet??,MEDIUM,ROGER FEDERER,USAIN BOLT,MICHAEL PHELPS,MICHAEL JORDAN,MICHAEL PHELPS
Who is the first Indian Badminton Player to win an Olympic Medal?,MEDIUM,SRIKANTH KIDAMBI,P.V. SINDHU,P.V. NEHWAL,SAINA NEHWAL,SAINA NEHWAL
When was the first FIFA World Cup held?,HARD,1930,1925,1934,1818,1930
When did Cristiano Ronaldo join Juventus Football Club?,HARD,2017,2018,2019,2016,2018
Who is the Undisputed World Chess Champion from 2007-2013?,HARD,VISWANATHAN ANAND,VLADIMIR KRAMNIK,MAGNUS CARLSEN,VESELIN TOPALOV,VISWANATTHAN ANAND
Which is the Largest Football Stadium in the World?,HARD,SALT LAKE STADIUM,RUNGRADO 1ST OF MAY STADIUM,AT&T STADIUM,MELBOURNE CRICKET GROUND,RUNGRADO 1ST OF MAY STADIUM
What is the World Record of Clean & Jerk Men?s 105 Kg Weightlifting?,HARD,224 KG,206 KG,237 KG,436 KG,273KG
Who has the Highest Number of Medals in the Olympic Shooting event?,HARD,WILLIS A. LEE,CARL OSBURN,OLE LILLOE-OLSEN,ALFRED LANE,CARL OSBURN
Who won the Most Grand Prix Motorcycle Racing World Championship?,HARD,GIACOMO AGOSTINI,�NGEL NIETO,MIKE HAILWOOD,CARLO UBBIALI,GIACOMO AGOSTINI
Which Sport is Ronnie O Sullivan famous for?,HARD,POKER,SNOOKER,TENNIS,CHESS,POKER
What is the Full Name of the Famous Football Player Ronaldo?,HARD,CRISTIANO SANTOS RONALDO,CRISTIANO RONALDO SANTOS AVEIRO,CRISTIANO RONALDO DOS SANTOS AVEIRO,CRISTIANO DOS RONALDO,CHRISTANO  RONALDO DOS SANTOS AVEIRO
When was Virat Kohli Selected as the Captain of the Indian Cricket Team (ODI)?,HARD,2019,2013,2017,2014,2013